94950,17480,13212,14672,12754,11624,18708,9871,5223,13506,9728,6538,10268,0,7182,3306,2949,1743,2793,3331,5279,6422,8976,5924,13307,inf,inf,19523,17315,6796,8131,9632,15611,13349,34745,22943,24930,19366,32741,39391,33070,30057,28808,34781,42822,57487
95000,21788,11604,12050,9215,10420,16246,11149,10254,7586,8496,11919,3064,7182,0,8474,8117,6362,5754,4916,2501,5004,13541,11091,17871,inf,inf,24087,21879,11964,12500,14002,19980,17718,39309,27508,29494,23930,37306,43955,37634,34622,33372,39345,47386,62051
95300,14726,16347,17807,15889,14759,21844,13006,1909,14665,12863,9673,11427,3306,8474,0,1211,2906,3979,4494,6442,7586,6225,3172,10555,inf,inf,16771,14564,4044,5379,6881,12860,10597,31993,20192,22178,16614,29990,36639,30318,27306,26056,32029,40070,54735
95400,15378,15989,17449,15532,14401,21486,12649,3120,14308,12506,9315,11069,2949,8117,1211,0,2595,3668,4182,6130,7274,6897,3844,11228,inf,inf,17443,15236,4717,6052,7553,13532,11270,32666,20864,22851,17287,30662,37312,30991,27978,26729,32701,40743,55408
95500,17073,14784,16243,14181,13196,20280,11443,4815,12553,11300,8110,9314,1743,6362,2906,2595,0,1217,2447,4394,5538,8544,5491,12875,inf,inf,19090,16883,6364,7699,9200,15179,12917,34313,22511,24498,18934,32309,38959,32637,29625,28376,34348,42390,57055
95600,17590,15857,16409,13573,14269,20605,12516,5888,11945,12373,9183,8707,2793,5754,3979,3668,1217,0,1152,3720,4863,9195,6563,13525,inf,inf,19741,17534,7435,8154,9656,15634,13372,34963,23162,25149,19584,32960,39609,33288,30276,29026,34999,43040,57706
95700,17937,15125,15572,12736,13942,19767,13031,6403,11107,12017,9697,7869,3331,4916,4494,4182,2447,1152,0,2843,3987,9520,7071,13851,inf,inf,20066,17859,7943,8479,9981,15960,13697,35288,23487,25474,19910,33285,39935,33613,30601,29352,35324,43366,58031
95800,19884,12710,13157,10321,11527,17352,12255,8351,8692,9602,11645,5454,5279,2501,6442,6130,4394,3720,2843,0,2229,11606,9157,15937,inf,inf,22152,19945,10029,10565,12067,18046,15783,37375,25573,27560,21996,35371,42021,35699,32687,31438,37410,45452,60117
95900,21028,15213,15660,12824,14030,19856,14759,9495,11196,12105,12789,7957,6422,5004,7586,7274,5538,4863,3987,2229,0,12701,10251,17031,inf,inf,23247,21039,11124,11660,13161,19140,16878,38469,26668,28654,23090,36465,43115,36794,33782,32532,38505,46546,61211
96000,9262,22017,23477,21360,20429,27514,18677,8134,19732,18533,15343,16494,8976,13541,6225,6897,8544,9195,9520,11606,12701,0,3729,4943,inf,inf,11531,9324,2929,3536,3463,9790,7528,26753,14952,16939,11374,24750,31400,25078,22066,20816,26789,34831,49496
