ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2
Johor|81300|1.4971995|103.711685|82300|1.33643333|103.460628
Johor|81300|1.4971995|103.711685|83000|1.86841|102.943824
Johor|81300|1.4971995|103.711685|83100|1.680822|103.149258
Johor|81300|1.4971995|103.711685|83200|1.7488|103.04918
Johor|81300|1.4971995|103.711685|83300|1.85359524|103.03089387
Johor|81300|1.4971995|103.711685|83400|1.97285833|102.963668
Johor|81300|1.4971995|103.711685|83500|1.975481|102.884558
Johor|81300|1.4971995|103.711685|83600|1.882279|102.782926
Johor|81300|1.4971995|103.711685|83700|2.012567|103.062496
Johor|81300|1.4971995|103.711685|84000|2.043699|102.563797
Johor|81300|1.4971995|103.711685|84150|1.959748|102.643208
Johor|81300|1.4971995|103.711685|84300|2.097444|102.63547
Johor|81300|1.4971995|103.711685|84400|2.146578|102.563927
Johor|81300|1.4971995|103.711685|84500|2.16567778|102.724472
Johor|81300|1.4971995|103.711685|84600|2.148084|102.770065
Johor|81300|1.4971995|103.711685|84700|2.207977|102.711164
Johor|81300|1.4971995|103.711685|84800|2.212716|102.654792
Johor|81300|1.4971995|103.711685|84900|2.276266|102.545695
Johor|81300|1.4971995|103.711685|85000|2.510854|102.815861
Johor|81300|1.4971995|103.711685|85100|2.576392|102.708061
Johor|81300|1.4971995|103.711685|85200|2.43989|102.68478
Johor|81300|1.4971995|103.711685|85300|2.381831|103.020378
Johor|81300|1.4971995|103.711685|85400|2.24841|103.041481
Johor|81300|1.4971995|103.711685|86000|2.033562|103.317863
Johor|81300|1.4971995|103.711685|86100|1.95696949213521|103.206130366391
Johor|81300|1.4971995|103.711685|86200|1.826888|103.310781
Johor|81300|1.4971995|103.711685|86300|1.88443263|103.40286959
Johor|81300|1.4971995|103.711685|86400|1.865015|103.110069
Johor|81300|1.4971995|103.711685|86500|2.29360198|103.12991681
Johor|81300|1.4971995|103.711685|86600|2.186827|103.195048
Johor|81300|1.4971995|103.711685|86700|2.35178611|103.67363889
Johor|81300|1.4971995|103.711685|86800|2.431857|103.837858
Johor|81300|1.4971995|103.711685|86900|2.649929|103.620892
Johor|81400|1.606506|103.647617|81440|1.876001|103.614046
Johor|81400|1.606506|103.647617|81450|1.75050278|103.672815
Johor|81400|1.606506|103.647617|81500|1.507615|103.509637
Johor|81400|1.606506|103.647617|81550|1.448457|103.590638
